president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
Donald Trump,All polls,3/3/2019,1/23/2017,1/24/2017,Public Policy Polling,B,1043,rv,1.165807,0,44,44,43.31709,44.36039,"","",http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_12617.pdf,49237,77249,1/25/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/23/2017,1/25/2017,YouGov,B,2692,a,1.577144,0,41,35,42.0202,37.29985,"","",http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/31rwbl7mh1/econToplines.pdf,49254,77266,1/26/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/22/2017,1/26/2017,Ipsos,B+,1678,a,.1992776,0,42.6,46.4,43.04288,45.23083,"",T,http://polling.reuters.com/#poll/CP3_2/,49424,77597,3/1/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/23/2017,1/27/2017,Ipsos,B+,1712,a,.1914354,0,44.5,45.5,44.94288,44.33083,"",T,http://polling.reuters.com/#poll/CP3_2/,49423,77596,3/1/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/24/2017,1/26/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.1918633,0,55,45,49.54671,45.88497,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49234,77246,1/27/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/24/2017,1/26/2017,Gallup,B,1500,a,.190472,0,45,48,46.18652,46.09881,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49242,77254,1/27/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/24/2017,1/28/2017,Ipsos,B+,1684,a,.1784696,0,45.4,46,45.84288,44.83083,"",T,http://polling.reuters.com/#poll/CP3_2/,49422,77595,3/1/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/25/2017,1/27/2017,Gallup,B,1500,a,.1825002,0,42,50,43.18652,48.09881,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49257,77269,1/28/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/25/2017,1/29/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.103974,0,53,47,47.54671,47.88497,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49239,77251,1/30/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/26/2017,1/28/2017,Morning Consult,B-,1991,rv,.7877128,0,49,41,46.56225,43.25751,"","",https://www.politico.com/f/?id=00000159-f6e7-da98-a77d-f6f7cba90001,49241,77253,1/29/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/25/2017,1/29/2017,Ipsos,B+,1630,a,.1646691,0,48.2,45.1,48.64288,43.93083,"",T,http://polling.reuters.com/#poll/CP3_2/,49421,77594,3/1/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/26/2017,1/28/2017,Gallup,B,1500,a,.1759301,0,42,51,43.18652,49.09881,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49251,77263,1/29/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/27/2017,1/29/2017,Gallup,B,1500,a,.1705319,0,43,50,44.18652,48.09881,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49235,77247,1/30/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/26/2017,1/30/2017,Ipsos,B+,2204,a,.2132604,0,46.8,45.8,47.24288,44.63083,"",T,http://polling.reuters.com/#poll/CP3_2/,49420,77593,3/1/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/26/2017,1/30/2017,SurveyMonkey,D-,4444,a,.2119286,0,48,50,45.62796,48.741,"","",https://blog.electiontracking.surveymonkey.com/2017/01/31/trump-approval-americans-divided-right-from-the-start/,49240,77252,1/31/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/26/2017,1/30/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.2973784,0,51,49,45.54671,49.88497,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49243,77255,1/31/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/28/2017,1/30/2017,Gallup,B,1500,a,.1661397,0,43,51,44.18652,49.09881,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49267,77279,1/31/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/27/2017,1/31/2017,Ipsos,B+,3153,a,.2940032,0,45.3,46.9,45.74288,45.73083,"",T,http://polling.reuters.com/#poll/CP3_2/,49419,77592,3/1/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/27/2017,2/2/2017,IBD/TIPP,A-,885,a,1.517317,0,42,48,43.97338,46.44047,"","",http://www.investors.com/wp-content/uploads/2017/02/IBDTIPP_Poll_2017_02.pdf,49269,77282,2/3/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/28/2017,2/1/2017,Ipsos,B+,3141,a,.2846596,0,45,47.9,45.44288,46.73083,"",T,http://polling.reuters.com/#poll/CP3_2/,49418,77591,3/1/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/29/2017,1/31/2017,Gallup,B,1500,a,.1626348,0,43,52,44.18652,50.09881,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49244,77256,2/1/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/28/2017,1/31/2017,YouGov,B,1500,a,.8307608,0,43,44,44.0202,46.29985,"","",http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/qg8b1mgh4b/econToplines.pdf,49268,77280,2/1/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/29/2017,1/31/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.1551301,0,53,47,47.54671,47.88497,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49250,77262,2/1/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/29/2017,2/2/2017,Ipsos,B+,3154,a,.2800674,0,45.3,47.4,45.74288,46.23083,"",T,http://polling.reuters.com/#poll/CP3_2/,49417,77590,3/1/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/30/2017,2/1/2017,Gallup,B,1500,a,.1599346,0,43,52,44.18652,50.09881,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49232,77244,2/2/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/30/2017,1/31/2017,Public Policy Polling,B,725,rv,.7824737,0,47,49,46.31709,49.36039,"","",http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_2217.pdf,49238,77250,2/1/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/30/2017,2/1/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.1516319,0,53,47,47.54671,47.88497,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49258,77270,2/2/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/31/2017,2/2/2017,Gallup,B,1500,a,.1579862,0,43,52,44.18652,50.09881,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49233,77245,2/3/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/31/2017,2/2/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.148639,0,54,46,48.54671,46.88497,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49263,77275,2/3/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/30/2017,2/3/2017,Ipsos,B+,3368,a,.2952999,0,44.9,47.7,45.34288,46.53083,"",T,http://polling.reuters.com/#poll/CP3_2/,49416,77589,3/1/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/31/2017,2/2/2017,CNN/Opinion Research Corp.,B+,1002,a,1.544354,0,44,53,43.77021,51.42105,"","",http://i2.cdn.turner.com/cnn/2017/images/02/03/rel2a.-.trump.pdf,49264,77276,2/3/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/1/2017,2/2/2017,CBS News,A-,1019,a,1.631781,0,40,48,41.42933,47.14305,"","",http://www.cbsnews.com/news/americans-sharply-divided-along-partisan-lines-over-travel-ban-trump-cbs-news-poll/?ftag=CNM-00-10aab7e&linkId=34085362,49252,77264,2/3/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/31/2017,2/4/2017,Ipsos,B+,2774,a,.2421593,0,45.2,47.7,45.64288,46.53083,"",T,http://polling.reuters.com/#poll/CP3_2/,49415,77588,3/1/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,1/30/2017,2/5/2017,SurveyMonkey,D-,9219,a,.2910465,0,46,52,43.62796,50.741,"","",https://blog.electiontracking.surveymonkey.com/2017/02/06/trump-approval-january-30-february-5/,49272,77286,2/6/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/1/2017,2/3/2017,Gallup,B,1500,a,.1562655,0,44,50,45.18652,48.09881,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49248,77260,2/4/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/2/2017,2/4/2017,Gallup,B,1500,a,.1547504,0,42,53,43.18652,51.09881,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49265,77277,2/5/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/1/2017,2/5/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.0870447,0,53,47,47.54671,47.88497,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49256,77268,2/6/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/2/2017,2/4/2017,Morning Consult,B-,2123,a,.8085514,0,48,43,45.56225,45.25751,"","",https://morningconsult.com/wp-content/uploads/2017/06/170105_topline_Brands_v3_AG.pdf,49275,92571,1/9/2019,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/1/2017,2/5/2017,Ipsos,B+,1849,a,.1614512,0,47.5,46.8,47.94288,45.63083,"",T,http://polling.reuters.com/#poll/CP3_2/,49414,77587,3/1/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/2/2017,2/4/2017,Zogby Interactive/JZ Analytics,C,860,lv,.8962702,0,47,43,45.0346,43.80523,"","",https://www.zogbyanalytics.com/news/768-voters-agree-with-president-trump-s-executive-orders-president-s-approval-rating-up,49270,77284,2/5/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/2/2017,2/6/2017,Quinnipiac University,A-,1155,rv,1.502467,0,42,51,43.68841,49.62733,"","",https://poll.qu.edu/national/release-detail?ReleaseID=2427,49276,77290,2/7/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/2/2017,2/6/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.2568875,0,53,47,47.54671,47.88497,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49271,77285,2/7/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/2/2017,2/6/2017,McLaughlin & Associates,C-,1000,lv,.7322547,0,48,48,43.95892,49.85677,"","",http://mclaughlinonline.com/2017/11/16/ma-national-survey-results-11-14-17/,50468,79636,11/16/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/2/2017,2/6/2017,Ipsos,B+,1869,a,.1635153,0,47.1,47.5,47.54288,46.33083,"",T,http://polling.reuters.com/#poll/CP3_2/,49413,77586,3/1/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/3/2017,2/5/2017,Gallup,B,1500,a,.1534224,0,42,52,43.18652,50.09881,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49261,77273,2/6/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/3/2017,2/7/2017,Ipsos,B+,1900,a,.1666627,0,47.5,47.6,47.94288,46.43083,"",T,http://polling.reuters.com/#poll/CP3_2/,49412,77585,3/1/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/4/2017,2/6/2017,Gallup,B,1500,a,.1522663,0,42,54,43.18652,52.09881,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49274,77288,2/7/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/5/2017,2/7/2017,Gallup,B,1500,a,.1512694,0,43,52,44.18652,50.09881,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49291,77306,2/8/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/5/2017,2/6/2017,Emerson College,B+,617,rv,1.095338,0,48.1,47.2,47.48,48.76458,"","",http://media.wix.com/ugd/3bebb2_ad9933217cc64d9c9fdf4e34a27756c1.pdf,49292,77307,2/7/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/4/2017,2/8/2017,Ipsos,B+,1718,a,.1512222,0,47.5,47.6,47.94288,46.43083,"",T,http://polling.reuters.com/#poll/CP3_2/,49411,77584,3/1/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/5/2017,2/7/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.1401103,0,53,47,47.54671,47.88497,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49277,77291,2/8/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/5/2017,2/7/2017,YouGov,B,1500,a,.8567116,0,41,48,42.0202,50.29985,"","",http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4zurt7hzwj/econToplines.pdf,49273,77287,2/8/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/6/2017,2/8/2017,Gallup,B,1500,a,.1504216,0,43,52,44.18652,50.09881,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49286,77301,2/9/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/5/2017,2/9/2017,Ipsos,B+,1756,a,.1551476,0,47.8,46.4,48.24288,45.23083,"",T,http://polling.reuters.com/#poll/CP3_2/,49410,77583,3/1/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/6/2017,2/8/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.1395808,0,53,47,47.54671,47.88497,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49290,77305,2/9/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/7/2017,2/9/2017,Gallup,B,1500,a,.1497145,0,42,52,43.18652,50.09881,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49289,77304,2/10/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/7/2017,2/8/2017,Public Policy Polling,B,712,rv,.8233231,0,43,53,42.31709,53.36039,"","",http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_21017.pdf,49287,77302,2/9/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/6/2017,2/10/2017,Ipsos,B+,1765,a,.1565977,0,46.7,47.6,47.14288,46.43083,"",T,http://polling.reuters.com/#poll/CP3_2/,49409,77582,3/1/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/7/2017,2/9/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.1390093,0,52,48,46.54671,48.88497,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49278,77293,2/10/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/8/2017,2/10/2017,Gallup,B,1500,a,.1491415,0,41,53,42.18652,51.09881,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49283,77298,2/11/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/6/2017,2/12/2017,SurveyMonkey,D-,9349,a,.2150589,0,46,53,43.62796,51.741,"","",https://blog.electiontracking.surveymonkey.com/2017/02/13/trump-approval-february-6-12/,49281,77296,2/13/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/7/2017,2/11/2017,Ipsos,B+,1770,a,.157612,0,46.7,47.5,47.14288,46.33083,"",T,http://polling.reuters.com/#poll/CP3_2/,49408,77581,3/1/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/9/2017,2/10/2017,Morning Consult,B-,1791,rv,.7087932,0,49,45,46.56225,47.25751,"","",https://morningconsult.com/2017/02/15/poll-warren-wouldnt-beat-trump-2020-another-democrat/,49296,77311,2/11/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/7/2017,2/12/2017,Pew Research Center,B-,1503,a,1.415614,0,39,56,40.9259,52.73315,"","",http://www.people-press.org/2017/02/16/in-first-month-views-of-trump-are-already-strongly-felt-deeply-polarized/?utm_source=adaptivemailer&utm_medium=email&utm_campaign=17-02-15%20feb%20political&org=982&lvl=100&ite=819&lea=171698&ctr=0&par=1&trk=,49308,77323,2/13/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/8/2017,2/12/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.0826714,0,52,48,46.54671,48.88497,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49284,77299,2/13/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/8/2017,2/12/2017,Ipsos,B+,1774,a,.1584064,0,46.3,48.4,46.74288,47.23083,"",T,http://polling.reuters.com/#poll/CP3_2/,49407,77580,3/1/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/9/2017,2/11/2017,Gallup,B,1500,a,.1486977,0,40,55,41.18652,53.09881,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49285,77300,2/12/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/9/2017,2/13/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.2456696,0,52,48,46.54671,48.88497,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49288,77303,2/14/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/10/2017,2/12/2017,Gallup,B,1500,a,.1483796,0,40,54,41.18652,52.09881,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49279,77294,2/13/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/9/2017,2/13/2017,Ipsos,B+,1813,a,.1621618,0,46.3,48.5,46.74288,47.33083,"",T,http://polling.reuters.com/#poll/CP3_2/,49406,77579,3/1/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/10/2017,2/14/2017,Ipsos,B+,1777,a,.1589968,0,45.3,50.6,45.74288,49.43083,"",T,http://polling.reuters.com/#poll/CP3_2/,49405,77578,3/1/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/11/2017,2/13/2017,Fox News,A,1013,rv,1.81272,0,48,47,46.07853,47.88453,"","",http://www.foxnews.com/politics/interactive/2017/02/14/fox-news-poll-february-14-2017/,49293,77308,2/14/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/11/2017,2/13/2017,Gallup,B,1500,a,.1480987,0,40,54,41.18652,52.09881,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49282,77297,2/14/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/11/2017,2/13/2017,Harris Interactive,C+,2148,rv,1.342118,0,48,52,43.83041,51.24727,"","",http://harvardharrispoll.com/wp-content/uploads/2017/02/Harvard-Harris-Topline-2.17.2017-Final.pdf,49369,77450,2/14/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/12/2017,2/14/2017,YouGov,B,1500,a,.801548,0,43,47,44.0202,49.29985,"","",http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/5amsxmrtih/econToplines.pdf,49295,77310,2/15/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/12/2017,2/14/2017,Gallup,B,1500,a,.1478532,0,40,53,41.18652,51.09881,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49298,77314,2/15/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/11/2017,2/15/2017,Ipsos,B+,1766,a,.157712,0,45.8,50.4,46.24288,49.23083,"",T,http://polling.reuters.com/#poll/CP3_2/,49404,77577,3/1/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/12/2017,2/14/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.1357629,0,53,47,47.54671,47.88497,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49294,77309,2/15/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/13/2017,2/15/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.1360041,0,55,45,49.54671,45.88497,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49302,77318,2/16/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/13/2017,2/15/2017,Gallup,B,1500,a,.1476415,0,40,54,41.18652,52.09881,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49303,77319,2/16/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/12/2017,2/16/2017,Ipsos,B+,1718,a,.1529407,0,45.9,50.2,46.34288,49.03083,"",T,http://polling.reuters.com/#poll/CP3_2/,49403,77576,3/1/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/14/2017,2/16/2017,Gallup,B,1500,a,.1474624,0,38,56,39.18652,54.09881,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49297,77313,2/17/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/13/2017,2/17/2017,Ipsos,B+,2512,a,.2229108,0,45.1,51.1,45.54288,49.93083,"",T,http://polling.reuters.com/#poll/CP3_2/,49402,77575,3/1/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/14/2017,2/16/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.1360634,0,55,45,49.54671,45.88497,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49300,77316,2/17/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/13/2017,2/17/2017,SurveyMonkey,D-,9163,a,.1629792,0,45,53,42.62796,51.741,"","",https://blog.electiontracking.surveymonkey.com/2017/02/17/trump-approval-february-13-17/,49306,77322,2/18/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/13/2017,2/19/2017,SurveyMonkey,D-,11512,a,.2017757,0,43,54,40.62796,52.741,"","",http://www.nbcnews.com/feature/data-points/poll-majority-americans-worried-about-war-feel-favorably-toward-nato-n723931,49314,77330,2/20/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/15/2017,2/17/2017,Gallup,B,1500,a,.1473147,0,40,55,41.18652,53.09881,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49301,77317,2/18/2017,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/13/2017,2/19/2017,Kaiser Family Foundation,"",1160,a,1.544195,0,41,52,42.05408,50.10886,"","",http://files.kff.org/attachment/Topline-Kaiser-Health-Tracking-Poll-Future-Directions-for-the-ACA-and-Medicaid,56895,91791,11/16/2018,09:09:21  3 Mar 2019
Donald Trump,All polls,3/3/2019,2/14/2017,2/18/2017,Ipsos,B+,2334,a,.2070291,0,44.3,52.1,44.74288,50.93083,"",T,http://polling.reuters.com/#poll/CP3_2/,49401,77574,3/1/2017,09:09:21  3 Mar 2019
